# Exact external JAR graph reviewed for the G18-050 application on 2026-08-09.
# scope	coordinate	file	SHA-256	approved license
production	org.apache.tomcat.embed:tomcat-embed-el:11.0.24	tomcat-embed-el-11.0.24.jar	ad0546f12dace008aacce18ba13222137760b310ca719e173d3e13021b9af6c6	Apache-2.0
production	org.apache.tomcat.embed:tomcat-embed-core:11.0.24	tomcat-embed-core-11.0.24.jar	e7b966dcaac8c5ffa4f10e44031ebf5b71f2123560c08ac8b7120028615aea08	Apache-2.0
production	commons-logging:commons-logging:1.3.6	commons-logging-1.3.6.jar	f8ead8943401081dea0aa824b5b1ba40a0e4ed297a572a0f02258150a0b62357	Apache-2.0
production	com.vaadin.external:gentyref:1.2.0.vaadin1	gentyref-1.2.0.vaadin1.jar	7fbb7aaa015944f08c0fcf394e4e4e6854ee5a4714c10835adab8d0e4c15c46a	Apache-2.0
production	com.fasterxml:classmate:1.7.3	classmate-1.7.3.jar	75fbda45456f123fb6e2028a6189442d8d0730b357adce4c0a6d7e789f70669b	Apache-2.0
production	jakarta.annotation:jakarta.annotation-api:3.0.0	jakarta.annotation-api-3.0.0.jar	b01f55552284cfb149411e64eabca75e942d26d2e1786b32914250e4330afaa2	EPL-2.0 OR GPL-2.0-with-classpath-exception
development	com.vaadin:vaadin-dev-server:25.2.4	vaadin-dev-server-25.2.4.jar	af085bf366afbe24d6bb65e7204e0a974f8cd82eed8d2080208070bba8ffa508	Apache-2.0
development	com.vaadin:flow-build-tools:25.2.4	flow-build-tools-25.2.4-shaded.jar	320305750e585f673cf5e833a10c69f9dfefcf4e6db2f2dd2d8d2ddc231bc7bf	Apache-2.0
development	com.vaadin:license-checker:3.1.0	license-checker-3.1.0.jar	07a9ce419166effc5ac3dc7a63f1c9568597eefad7f9ec9203b5d1afd84f0650	Apache-2.0
development	io.methvin:directory-watcher:0.19.1	directory-watcher-0.19.1.jar	6e801aa1fb48a0b09cc9a8626c4fae329cb771423418a43bf0518425f9559e19	Apache-2.0
development	com.vaadin:open:8.5.0.5	open-8.5.0.5.jar	893c5a11b7667145a0d5fdb2ddfb1827c25e52208997d071e6462a91bb204876	Apache-2.0
development	com.nimbusds:nimbus-jose-jwt:10.3.1	nimbus-jose-jwt-10.3.1.jar	d7919520ae9702ea06a23cc669c9ed1daa543d12a33a1be214a85b47dfc1c7c8	Apache-2.0
development	net.java.dev.jna:jna:5.18.1	jna-5.18.1.jar	260c4b1e22b1db9e110ee441c4f13ce115f841fa48c41d78750986214b395557	Apache-2.0 OR LGPL-2.1
development	com.github.javaparser:javaparser-core:3.28.2	javaparser-core-3.28.2.jar	b5499a3b1c40b16c0671fabe478c9aafeab38160c6fde74a6c13f42d86716ecd	Apache-2.0
